"COLLEGE_CODE","PROGRAM_CODE","PROGRAM_DESC","MAJOR_CODE","MAJOR_DESC","KPI_DEGREE","KPI_DIVISION"
"2","2C16840A","Special Education","8321","Special Education","Child Development and Education Studies","Social Science"
"2","2A18166","IDS: Soc Behavior & Self Dev","8350","IDS: Soc Behavior & Self Dev","Counseling and Guidance","Counseling"
"1","1C30332","Advanced Networking","0034","Advanced Networking","Cypress College Degree","Cypress College Division"
"1","1S03791","Mortuary Science","0350","Mortuary Science","Cypress College Degree","Cypress College Division"
"2","2S03871","AS Mathematics","5980","Mathematics","Mathematics","Math and Computer Science"
"2","2A30802","Sociology AA-T","5901","Sociology AA-T","Sociology","Social Science"
"2","2S08387","AS Business Management","5120","Business Management","Business Management","Business"
"1","1C21095","Business Management","0061","Business Management","Cypress College Degree","Cypress College Division"
"1","1GU0015","UC IGETC Cert Completed","0015","UC IGETC Cert Completed","Cypress College Degree","Cypress College Division"
"1","1C31190","Green Air Conditioning","0082","Green Air Conditioning","Cypress College Degree","Cypress College Division"
"1","1C12980","Rooms Operations","0121","Rooms Operations","Cypress College Degree","Cypress College Division"
"1","1C12979","Dining Room Operations","0115","Dining Room Operations","Cypress College Degree","Cypress College Division"
"1","1S03763","Hotel Management","0280","Hotel Management","Cypress College Degree","Cypress College Division"
"2","2A32845","Journalism AA-T","5211","Journalism AA-T","Journalism","Tech and Engineering"
"1","1A18521","Lib. Arts: Arts and Humanities","0534","Lib. Arts: Arts and Humanities","Cypress College Degree","Cypress College Division"
"1","1A12078","General Studies","0020","General Studies","Cypress College Degree","Cypress College Division"
"2","2A08430","AA Fashion Merchandising","5480","Fashion Merchandising","Fashion","Tech and Engineering"
"1","1A16918","Sociology","3562","Sociology","Cypress College Degree","Cypress College Division"
"1","1C22917","Aviation II Instrument Pilot","2917","Aviation II Instrument Pilot","Cypress College Degree","Cypress College Division"
"1","1S03773","Commercial Pilot","0120","Commercial Pilot","Cypress College Degree","Cypress College Division"
"1","1C21119","Culinary Arts","2711","Culinary Arts","Cypress College Degree","Cypress College Division"
"1","1S39923","Computer Science AS-T","5291","Computer Science AS-T","Cypress College Degree","Cypress College Division"
"2","2A31529","Art History AA-T","5061","Art History AA-T","Art","Fine Arts"
"1","1K00080","Specialty Professional Selling","3400","Professional Selling","Cypress College Degree","Cypress College Division"
"1","1C12976N","AutoTech: Trans. Spec.","0108","AutoTech: Trans. Spec.","Cypress College Degree","Cypress College Division"
"1","1C31192N","Heat Pump","0079","Heat Pump","Cypress College Degree","Cypress College Division"
"1","1S37219","Film ,TV, & Elect. Media AS-T","5253","Film ,TV, & Elect. Media AS-T","Cypress College Degree","Cypress College Division"
"2","2A36796A","Child & Adolescent Development","5164","Child & Adolescent Development","Child Development and Education Studies","Social Science"
"1","1C37115N","T-TEN A/C Specialist","8034","T-TEN A/C Specialist","Cypress College Degree","Cypress College Division"
"1","1C37117N","T-TEN Electrical","8033","T-TEN Electrical","Cypress College Degree","Cypress College Division"
"2","2C10622A","Draft Tech: Ind Draft I","7471","Draft Tech: Ind Draft I","Manufacturing","Tech and Engineering"
"1","1C22919T","Aviation IV Advanced Pilot","2919","Aviation IV Advanced Pilot","Cypress College Degree","Cypress College Division"
"2","2C40640","Real Estate Sales Skills","7776","Real Estate Sales Skills","Real Estate","Business"
"2","2C19453A","Professional Photography","8411","Professional Photography","Photography","Tech and Engineering"
"1","1C12962N","Technical Theatre","4500","Technical Theatre","Cypress College Degree","Cypress College Division"
"2","2S03831","AS Computer Information Systms","5280","Computer Information Systems","Computer Information Systems","Business"
"1","1A32138","Elementary Teacher Educ. AA-T","0146","Elementary Teacher Educ. AA-T","Cypress College Degree","Cypress College Division"
"1","1A32000","English AA-T","0143","English AA-T","Cypress College Degree","Cypress College Division"
"1","1A03776","Art","0080","Art","Cypress College Degree","Cypress College Division"
"2","2C10626A","Commercial Interior Design","7661","Commercial Interior Design","Interior Design","Tech and Engineering"
"1","1C21094N","Accounting","2002","Accounting Certificate","Cypress College Degree","Cypress College Division"
"2","2C21271","Cert: Construction Technology","7451","Construction Technology","Construction Technology","Tech and Engineering"
"2","2C21273","Cert: Fashion Design","7541","Fashion Design","Fashion","Tech and Engineering"
"2","2C18759","Cert Costume Wardrobe","8450","Costume Wardrobe","Theatre Arts","Fine Arts"
"2","2C18750A","Technical Theatre","8502","Technical Theatre","Theatre Arts","Fine Arts"
"2","2S13208","AS Construction Inspection","5300","Construction Inspection","Construction Technology","Tech and Engineering"
"1","1C33369","Court Reporting Technology","0163","Court Reporting Technology","Cypress College Degree","Cypress College Division"
